"properties/province","properties/district","properties/sub_district","properties/village","properties/area_sawah","properties/product","","",""
"JAWA TIMUR","MALANG","SINGOSARI","KLAMPOK","121.0","500.9","","",""
"JAWA TIMUR","MALANG","SINGOSARI","LANGLANG","94.0","389.2","","",""
"JAWA TIMUR","MALANG","SINGOSARI","LOSARI","25.0","103.5","","",""
"JAWA TIMUR","MALANG","SINGOSARI","PAGENTAN","50.0","207.0","","",""
"JAWA TIMUR","MALANG","SINGOSARI","PURWOASRI","108.0","447.1","","",""
"JAWA TIMUR","MALANG","SINGOSARI","RANDUAGUNG","60.0","248.4","","",""
"JAWA TIMUR","MALANG","SINGOSARI","TAMANHARJO","65.0","269.1","","",""
"JAWA TIMUR","MALANG","SINGOSARI","TOYOMARTO","120.0","496.8","","",""
"JAWA TIMUR","MALANG","SINGOSARI","TUNJUNGTIRTO","147.0","608.6","","",""
"JAWA TIMUR","MALANG","SINGOSARI","WATUGEDE","105.0","434.7","","",""
"JAWA TIMUR","MALANG","SINGOSARI","WONOREJO","0","0","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","ARGOTIRTO","19.8","82.0","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","DRUJU","21.0","86.9","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","HARJOKUNCARAN","38.0","157.3","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","KEDUNGBANTENG","52.0","215.3","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","KLEPU","21.0","86.9","","",""
"JAWA TIMUR","MALANG","SUMBERMANJINGWETAN","RINGINKEMBAR","0","0","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","RINGINSARI","35.0","144.9","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","SEKARBANYU","10.0","41.4","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","SIDOASRI","315.0","1,304.1","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","SITIARJO","375.0","1,552.5","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","SUMBERAGUNG","33.0","136.6","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","SUMBERMANJING WETAN","0","0","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","TAMBAKREJO","79.0","327.1","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","TAMBAKSARI","0","0","","",""
"JAWA TIMUR","MALANG","SUMBERMANJING WETAN","TEGALREJO","3.0","12.4","","",""
"JAWA TIMUR","MALANG","SUMBERPUCUNG","JATIGUWI","250.0","1,035.0","","",""
"JAWA TIMUR","MALANG","SUMBERPUCUNG","KARANGKATES","166.0","687.2","","",""
"JAWA TIMUR","MALANG","SUMBERPUCUNG","NGEBRUK","188.0","778.3","","",""
"JAWA TIMUR","MALANG","SUMBERPUCUNG","SAMBIGEDE","193.0","799.0","","",""
"JAWA TIMUR","MALANG","SUMBERPUCUNG","SENGGRENG","311.0","1,287.5","","",""
"JAWA TIMUR","MALANG","SUMBERPUCUNG","SUMBERPUCUNG","277.0","1,146.8","","",""
"JAWA TIMUR","MALANG","SUMBERPUCUNG","TERNYANG","307.0","1,271.0","","",""
"JAWA TIMUR","MALANG","TAJINAN","GUNUNGRONGGO","136.0","563.0","","",""
"JAWA TIMUR","MALANG","TAJINAN","GUNUNGSARI","62.0","256.7","","",""
"JAWA TIMUR","MALANG","TAJINAN","JAMBEARJO","131.0","542.3","","",""
"JAWA TIMUR","MALANG","TAJINAN","JATISARI","90.0","372.6","","",""
"JAWA TIMUR","MALANG","TAJINAN","NGAWONGGO","144.0","596.2","","",""
"JAWA TIMUR","MALANG","TAJINAN","PANDANMULYO","215.2","890.9","","",""
"JAWA TIMUR","MALANG","TAJINAN","PURWOSEKAR","187.8","777.5","","",""
"JAWA TIMUR","MALANG","TAJINAN","RANDUGADING","129.0","534.1","","",""
"JAWA TIMUR","MALANG","TAJINAN","SUMBERSUKO","136.0","563.0","","",""
"JAWA TIMUR","MALANG","TAJINAN","TAJINAN","84.7","350.7","","",""
"JAWA TIMUR","MALANG","TAJINAN","TAMBAKSARI","122.0","505.1","","",""
"JAWA TIMUR","MALANG","TAJINAN","TANGKILSARI","150.3","622.2","","",""
"JAWA TIMUR","MALANG","TIRTOYUDO","AMPELGADING","5.0","20.7","","",""
"JAWA TIMUR","MALANG","TIRTOYUDO","GADUNGSARI","48.4","200.5","","",""
"JAWA TIMUR","MALANG","TIRTOYUDO","JOGOMULYAN","7.5","31.1","","",""
"JAWA TIMUR","MALANG","TIRTOYUDO","KEPATIHAN","5.0","20.7","","",""
"JAWA TIMUR","MALANG","TIRTOYUDO","PUJIHARJO","153.0","633.4","","",""
"JAWA TIMUR","MALANG","TIRTOYUDO","PURWODADI","54.0","223.6","","",""
"JAWA TIMUR","MALANG","TIRTOYUDO","SUKOREJO","5.0","20.7","","",""
"JAWA TIMUR","MALANG","TIRTOYUDO","SUMBERTANGKIL","6.0","24.8","","",""
"JAWA TIMUR","MALANG","TIRTOYUDO","TAMANKUNCARAN","152.0","629.3","","",""
"JAWA TIMUR","MALANG","TIRTOYUDO","TAMANSATRIAN","2.0","8.3","","",""
"JAWA TIMUR","MALANG","TIRTOYUDO","TIRTOYUDO","33.5","138.7","","",""
"JAWA TIMUR","MALANG","TIRTOYUDO","TLOGOSARI","9.0","37.3","","",""
"JAWA TIMUR","MALANG","TIRTOYUDO","WONOAGUNG","27.0","111.8","","",""
"JAWA TIMUR","MALANG","TUMPANG","BENJOR","0","0","","",""
"JAWA TIMUR","MALANG","TUMPANG","BOKOR","97.0","401.6","","",""
